,long,lat,group,order,region,State
92144,-72.00395966,41.04428864,1487,92144,USA,New York
92145,-71.90322876,41.06069183,1487,92145,USA,New York
92146,-72.33896637,40.89414215,1487,92146,USA,New York
92147,-72.4280777,40.8753891,1487,92147,USA,New York
92148,-72.55556488,40.82578278,1487,92148,USA,New York
92149,-72.67607117,40.79062271,1487,92149,USA,New York
92150,-72.76284027,40.77783203,1487,92150,USA,New York
92151,-73.19429016,40.65419769,1487,92151,USA,New York
92152,-73.22851563,40.65151215,1487,92152,USA,New York
92153,-73.26552582,40.66357422,1487,92153,USA,New York
92154,-73.62090302,40.59989929,1487,92154,USA,New York
92155,-73.76674652,40.59272766,1487,92155,USA,New York
92156,-73.89955902,40.57050705,1487,92156,USA,New York
92157,-73.80132294,40.62177658,1487,92157,USA,New York
92158,-73.79917145,40.64096832,1487,92158,USA,New York
92159,-73.82265472,40.65595627,1487,92159,USA,New York
92160,-73.87519836,40.65161133,1487,92160,USA,New York
92161,-73.92900085,40.59882736,1487,92161,USA,New York
92162,-74.01489258,40.58119965,1487,92162,USA,New York
92163,-74.0320282,40.63867188,1487,92163,USA,New York
92164,-74.00337219,40.68315506,1487,92164,USA,New York
92165,-73.9645462,40.7253418,1487,92165,USA,New York
92166,-73.87924957,40.79165268,1487,92166,USA,New York
92167,-73.75722504,40.83369064,1487,92167,USA,New York
92168,-73.69521332,40.87001801,1487,92168,USA,New York
92169,-73.65224457,40.83803558,1487,92169,USA,New York
92170,-73.64282227,40.88124847,1487,92170,USA,New York
92171,-73.60977173,40.90620041,1487,92171,USA,New York
92172,-73.57382965,40.91962814,1487,92172,USA,New York
92173,-73.48740387,40.91997147,1487,92173,USA,New York
92174,-73.44087219,40.92675781,1487,92174,USA,New York
92175,-73.40722656,40.94111252,1487,92175,USA,New York
92176,-73.37270355,40.94379807,1487,92176,USA,New York
92177,-73.27817535,40.92421722,1487,92177,USA,New York
92178,-73.18583679,40.92983246,1487,92178,USA,New York
92179,-73.11128235,40.95688629,1487,92179,USA,New York
92180,-73.03379059,40.96596527,1487,92180,USA,New York
92181,-72.82881165,40.9720726,1487,92181,USA,New York
92182,-72.62509155,40.99184418,1487,92182,USA,New York
92183,-72.54364777,41.02700424,1487,92183,USA,New York
92184,-72.37255859,41.12553406,1487,92184,USA,New York
92185,-72.27411652,41.15302658,1487,92185,USA,New York
92186,-72.42739105,41.03852463,1487,92186,USA,New York
92187,-72.50976563,40.98603439,1487,92187,USA,New York
92189,-69.97792816,41.26557541,1488,92189,USA,Massachusettes
92190,-70.0550766,41.24946213,1488,92190,USA,Massachusettes
92191,-70.23306274,41.28632736,1488,92191,USA,Massachusettes
92192,-70.08661652,41.31758118,1488,92192,USA,Massachusettes
92193,-70.06269073,41.32846832,1488,92193,USA,Massachusettes
92194,-70.04360199,41.37441254,1488,92194,USA,Massachusettes
92195,-70.04121399,41.39746094,1488,92195,USA,Massachusettes
92196,-69.9855957,41.29863358,1488,92196,USA,Massachusettes
92197,-69.97792816,41.26557541,1488,92197,USA,Massachusettes
92199,-70.50991058,41.37631989,1489,92199,USA,Massachusettes
92200,-70.78530121,41.32744217,1489,92200,USA,Massachusettes
92201,-70.82920074,41.3589859,1489,92201,USA,Massachusettes
92202,-70.76049805,41.37358475,1489,92202,USA,Massachusettes
92203,-70.67372894,41.44853592,1489,92203,USA,Massachusettes
92204,-70.61601257,41.4572258,1489,92204,USA,Massachusettes
92205,-70.52534485,41.41479492,1489,92205,USA,Massachusettes
92206,-70.50991058,41.37631989,1489,92206,USA,Massachusettes
92235,-68.18725586,44.33246994,1493,92235,USA,Maine
92236,-68.24546051,44.31298828,1493,92236,USA,Maine
92237,-68.30927277,44.32148361,1493,92237,USA,Maine
92238,-68.30796051,44.26869965,1493,92238,USA,Maine
92239,-68.31508636,44.24971008,1493,92239,USA,Maine
92240,-68.38579559,44.27685547,1493,92240,USA,Maine
92241,-68.41172028,44.29433823,1493,92241,USA,Maine
92242,-68.40947723,44.36425781,1493,92242,USA,Maine
92243,-68.34701538,44.43037033,1493,92243,USA,Maine
92244,-68.29941559,44.45649719,1493,92244,USA,Maine
92245,-68.23803711,44.43837738,1493,92245,USA,Maine
92246,-68.19091797,44.36435699,1493,92246,USA,Maine
92247,-68.18725586,44.33246994,1493,92247,USA,Maine
92282,-122.5727615,48.15664291,1497,92282,USA,Washington
92283,-122.5238266,48.02544022,1497,92283,USA,Washington
92284,-122.5028305,48.08007813,1497,92284,USA,Washington
